date;state;generation_mwh;Heat_and_power_comm_power;Heat_and_Power_Electric_Power;Electric_Generators_Electric_Utilities;Electric_Generators_Independent_Power_Producers;Total_Electric_Power_Industry;Natural_Gas;Other_Biomass;Petroleum;Solar_Thermal_and_Photovoltaic;Total
06/01/2013;DC;23870.36;3;0;0;0;3;2;0;2;0;2
07/01/2013;DC;25683.12;3;0;0;0;3;2;0;2;0;2
08/01/2013;DC;26760.12;3;0;0;0;3;2;0;2;0;2
09/01/2013;DC;24186.0;3;0;0;0;3;2;0;2;0;2
10/01/2013;DC;22360.16;3;0;0;0;3;2;0;2;0;2
11/01/2013;DC;19256.48;3;0;0;0;3;2;0;2;0;2
12/01/2013;DC;19177.12;3;0;0;0;3;2;0;2;0;2
01/01/2014;DC;20036.48;3;0;0;0;3;2;0;2;0;2
02/01/2014;DC;20348.32;3;0;0;0;3;2;0;2;0;2
03/01/2014;DC;22227.28;3;0;0;0;3;2;0;2;0;2
04/01/2014;DC;20500.36;3;0;0;0;3;2;0;2;0;2
05/01/2014;DC;21386.4;3;0;0;0;3;2;0;2;0;2
06/01/2014;DC;22442.68;3;0;0;0;3;2;0;2;0;2
07/01/2014;DC;24189.0;3;0;0;0;3;2;0;2;0;2
08/01/2014;DC;23935.28;3;0;0;0;3;2;0;2;0;2
09/01/2014;DC;23156.56;3;0;0;0;3;2;0;2;0;2
10/01/2014;DC;18819.24;3;0;0;0;3;2;0;2;0;2
11/01/2014;DC;20418.56;3;0;0;0;3;2;0;2;0;2
12/01/2014;DC;22429.68;3;0;0;0;3;2;0;2;0;2
01/01/2015;DC;6852.0;3;0;0;0;3;2;0;2;0;2
02/01/2015;DC;6300.0;3;0;0;0;3;2;0;2;0;2
03/01/2015;DC;6700.0;3;0;0;0;3;2;0;2;0;2
04/01/2015;DC;6872.0;3;0;0;0;3;2;0;2;0;2
05/01/2015;DC;7804.0;3;0;0;0;3;2;0;2;0;2
06/01/2015;DC;23909.0;3;3;0;0;4;3;2;2;0;3
07/01/2015;DC;27614.0;3;3;0;0;4;3;2;2;0;3
08/01/2015;DC;26593.0;3;3;0;0;4;3;2;2;0;3
09/01/2015;DC;24275.0;3;3;0;0;4;3;2;2;0;3
10/01/2015;DC;25704.0;3;3;0;0;4;3;2;2;0;3
11/01/2015;DC;25634.0;3;3;0;0;4;3;2;2;0;3
