year,month,state,type_of_producer,energy_source,generation_mwh,date
2003,8,DC,"Electric Generators, Independent Power Producers",Petroleum,24567,2003-08-01
2003,8,DC,"Electric Generators, Independent Power Producers",Total,24567,2003-08-01
2003,9,DC,Total Electric Power Industry,Petroleum,-599,2003-09-01
2003,9,DC,Total Electric Power Industry,Total,-599,2003-09-01
2003,9,DC,"Electric Generators, Independent Power Producers",Petroleum,-599,2003-09-01
2003,9,DC,"Electric Generators, Independent Power Producers",Total,-599,2003-09-01
2003,10,DC,Total Electric Power Industry,Petroleum,-625,2003-10-01
2003,10,DC,Total Electric Power Industry,Total,-625,2003-10-01
2003,10,DC,"Electric Generators, Independent Power Producers",Petroleum,-625,2003-10-01
2003,10,DC,"Electric Generators, Independent Power Producers",Total,-625,2003-10-01
2003,11,DC,Total Electric Power Industry,Petroleum,-645,2003-11-01
2003,11,DC,Total Electric Power Industry,Total,-645,2003-11-01
2003,11,DC,"Electric Generators, Independent Power Producers",Petroleum,-645,2003-11-01
2003,11,DC,"Electric Generators, Independent Power Producers",Total,-645,2003-11-01
2003,12,DC,Total Electric Power Industry,Petroleum,-793,2003-12-01
2003,12,DC,Total Electric Power Industry,Total,-793,2003-12-01
2003,12,DC,"Electric Generators, Independent Power Producers",Petroleum,-793,2003-12-01
2003,12,DC,"Electric Generators, Independent Power Producers",Total,-793,2003-12-01
2004,1,DC,Total Electric Power Industry,Petroleum,15820,2004-01-01
2004,1,DC,Total Electric Power Industry,Total,15820,2004-01-01
2004,1,DC,"Electric Generators, Independent Power Producers",Petroleum,15820,2004-01-01
2004,1,DC,"Electric Generators, Independent Power Producers",Total,15820,2004-01-01
2004,2,DC,Total Electric Power Industry,Petroleum,1829,2004-02-01
2004,2,DC,Total Electric Power Industry,Total,1829,2004-02-01
2004,2,DC,"Electric Generators, Independent Power Producers",Petroleum,1829,2004-02-01
2004,2,DC,"Electric Generators, Independent Power Producers",Total,1829,2004-02-01
