date;state;energy_source;generation_mwh;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total
2010-01-02;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2010-01-03;DC;PetroleumTotalPetroleumTotal;9304.0;0;0;0;2;2;0;0;2;0;2
2010-01-04;DC;PetroleumTotalPetroleumTotal;3220.0;0;0;0;2;2;0;0;2;0;2
2010-01-05;DC;PetroleumTotalPetroleumTotal;95700.0;0;0;0;2;2;0;0;2;0;2
2010-01-06;DC;PetroleumTotalPetroleumTotal;297684.0;0;0;0;2;2;0;0;2;0;2
2010-01-07;DC;PetroleumTotalPetroleumTotal;203752.0;0;0;0;2;2;0;0;2;0;2
2010-01-08;DC;PetroleumTotalPetroleumTotal;95976.0;0;0;0;2;2;0;0;2;0;2
2010-01-09;DC;PetroleumTotalPetroleumTotal;58812.0;0;0;0;2;2;0;0;2;0;2
2010-01-10;DC;PetroleumTotalPetroleumTotal;13504.0;0;0;0;2;2;0;0;2;0;2
2010-01-11;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2010-01-12;DC;PetroleumTotalPetroleumTotal;21480.0;0;0;0;2;2;0;0;2;0;2
2011-01-01;DC;Natural GasTotalPetroleumTotalNatural GasPetroleumTotal;27040.88;0;0;2;2;3;2;0;2;0;3
2011-01-02;DC;Natural GasTotalNatural GasTotal;17001.64;0;0;2;0;2;2;0;0;0;2
2011-01-03;DC;Natural GasTotalNatural GasTotal;19701.48;0;0;2;0;2;2;0;0;0;2
2011-01-04;DC;Natural GasTotalNatural GasTotal;21955.72;0;0;2;0;2;2;0;0;0;2
2011-01-05;DC;Natural GasTotalPetroleumTotalNatural GasPetroleumTotal;36624.4;0;0;2;2;3;2;0;2;0;3
2011-01-06;DC;Natural GasTotalPetroleumTotalNatural GasPetroleumTotal;125112.28;0;0;2;2;3;2;0;2;0;3
2011-01-07;DC;Natural GasTotalPetroleumTotalNatural GasPetroleumTotal;322483.96;0;0;2;2;3;2;0;2;0;3
2011-01-08;DC;Natural GasTotalPetroleumTotalNatural GasPetroleumTotal;131478.04;0;0;2;2;3;2;0;2;0;3
2011-01-09;DC;Natural GasTotalPetroleumTotalNatural GasPetroleumTotal;35280.479999999996;0;0;2;2;3;2;0;2;0;3
2011-01-10;DC;Natural GasTotalNatural GasTotal;23693.36;0;0;2;0;2;2;0;0;0;2
2011-01-11;DC;Natural GasTotalNatural GasTotal;20574.56;0;0;2;0;2;2;0;0;0;2
2011-01-12;DC;Natural GasTotalNatural GasTotal;22549.04;0;0;2;0;2;2;0;0;0;2
2012-01-01;DC;TotalNatural GasPetroleumTotalPetroleumTotalNatural GasPetroleum;21537.0;3;0;0;2;3;2;0;3;0;3
2012-01-02;DC;TotalNatural GasPetroleumTotalPetroleumTotalNatural GasPetroleum;17534.8;3;0;0;2;3;2;0;3;0;3
2012-01-03;DC;TotalNatural GasPetroleumTotalPetroleumTotalNatural GasPetroleum;19239.24;3;0;0;2;3;2;0;3;0;3
2012-01-04;DC;TotalNatural GasPetroleumTotalPetroleumTotalNatural GasPetroleum;28637.24;3;0;0;2;3;2;0;3;0;3
2012-01-05;DC;TotalNatural GasPetroleumTotalPetroleumTotalNatural GasPetroleum;47408.08;3;0;0;2;3;2;0;3;0;3
2012-01-06;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;22892.16;3;0;0;0;3;2;0;2;0;2
2012-01-07;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;26979.88;3;0;0;0;3;2;0;2;0;2
2012-01-08;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;24954.8;3;0;0;0;3;2;0;2;0;2
2012-01-09;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;22722.88;3;0;0;0;3;2;0;2;0;2
2012-01-10;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;19683.48;3;0;0;0;3;2;0;2;0;2
2012-01-11;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;16566.96;3;0;0;0;3;2;0;2;0;2
2012-01-12;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;18990.6;3;0;0;0;3;2;0;2;0;2
2013-01-01;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20191.12;3;0;0;0;3;2;0;2;0;2
2013-01-02;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20188.08;3;0;0;0;3;2;0;2;0;2
2013-01-03;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20429.2;3;0;0;0;3;2;0;2;0;2
2013-01-04;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;19962.4;3;0;0;0;3;2;0;2;0;2
2013-01-05;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;21344.2;3;0;0;0;3;2;0;2;0;2
2013-01-06;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;23870.36;3;0;0;0;3;2;0;2;0;2
2013-01-07;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;25683.12;3;0;0;0;3;2;0;2;0;2
2013-01-08;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;26760.12;3;0;0;0;3;2;0;2;0;2
2013-01-09;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;24186.0;3;0;0;0;3;2;0;2;0;2
2013-01-10;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;22360.16;3;0;0;0;3;2;0;2;0;2
2013-01-11;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;19256.48;3;0;0;0;3;2;0;2;0;2
2013-01-12;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;19177.12;3;0;0;0;3;2;0;2;0;2
2014-01-01;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20036.48;3;0;0;0;3;2;0;2;0;2
2014-01-02;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20348.32;3;0;0;0;3;2;0;2;0;2
2014-01-03;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;22227.28;3;0;0;0;3;2;0;2;0;2
2014-01-04;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20500.36;3;0;0;0;3;2;0;2;0;2
2014-01-05;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;21386.4;3;0;0;0;3;2;0;2;0;2
2014-01-06;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;22442.68;3;0;0;0;3;2;0;2;0;2
2014-01-07;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;24189.0;3;0;0;0;3;2;0;2;0;2
2014-01-08;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;23935.28;3;0;0;0;3;2;0;2;0;2
2014-01-09;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;23156.56;3;0;0;0;3;2;0;2;0;2
2014-01-10;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;18819.24;3;0;0;0;3;2;0;2;0;2
2014-01-11;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;20418.56;3;0;0;0;3;2;0;2;0;2
2014-01-12;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;22429.68;3;0;0;0;3;2;0;2;0;2
2015-01-01;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;6852.0;3;0;0;0;3;2;0;2;0;2
2015-01-02;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;6300.0;3;0;0;0;3;2;0;2;0;2
2015-01-03;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;6700.0;3;0;0;0;3;2;0;2;0;2
2015-01-04;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;6872.0;3;0;0;0;3;2;0;2;0;2
2015-01-05;DC;TotalNatural GasPetroleumTotalNatural GasPetroleum;7804.0;3;0;0;0;3;2;0;2;0;2
2015-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;23909.0;3;3;0;0;4;3;2;2;0;3
2015-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;27614.0;3;3;0;0;4;3;2;2;0;3
2015-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26593.0;3;3;0;0;4;3;2;2;0;3
2015-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24275.0;3;3;0;0;4;3;2;2;0;3
2015-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25704.0;3;3;0;0;4;3;2;2;0;3
2015-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25634.0;3;3;0;0;4;3;2;2;0;3
2015-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26740.0;3;3;0;0;4;3;2;2;0;3
2016-01-01;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25674.0;3;3;0;0;4;3;2;2;0;3
2016-01-02;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;23740.0;3;3;0;0;4;3;2;2;0;3
