year;month;state;type_of_producer;energy_source;generation_mwh;date
2003;7;DC;Total Electric Power Industry;Petroleum;10741;01/07/2003
2003;7;DC;Total Electric Power Industry;Total;10741;01/07/2003
2003;7;DC;Electric Generators, Independent Power Producers;Petroleum;10741;01/07/2003
2003;7;DC;Electric Generators, Independent Power Producers;Total;10741;01/07/2003
2003;8;DC;Total Electric Power Industry;Petroleum;24567;01/08/2003
2003;8;DC;Total Electric Power Industry;Total;24567;01/08/2003
2003;8;DC;Electric Generators, Independent Power Producers;Petroleum;24567;01/08/2003
2003;8;DC;Electric Generators, Independent Power Producers;Total;24567;01/08/2003
2003;9;DC;Total Electric Power Industry;Petroleum;-599;01/09/2003
2003;9;DC;Total Electric Power Industry;Total;-599;01/09/2003
2003;9;DC;Electric Generators, Independent Power Producers;Petroleum;-599;01/09/2003
2003;9;DC;Electric Generators, Independent Power Producers;Total;-599;01/09/2003
2003;10;DC;Total Electric Power Industry;Petroleum;-625;01/10/2003
2003;10;DC;Total Electric Power Industry;Total;-625;01/10/2003
2003;10;DC;Electric Generators, Independent Power Producers;Petroleum;-625;01/10/2003
2003;10;DC;Electric Generators, Independent Power Producers;Total;-625;01/10/2003
2003;11;DC;Total Electric Power Industry;Petroleum;-645;01/11/2003
2003;11;DC;Total Electric Power Industry;Total;-645;01/11/2003
2003;11;DC;Electric Generators, Independent Power Producers;Petroleum;-645;01/11/2003
2003;11;DC;Electric Generators, Independent Power Producers;Total;-645;01/11/2003
2003;12;DC;Total Electric Power Industry;Petroleum;-793;01/12/2003
2003;12;DC;Total Electric Power Industry;Total;-793;01/12/2003
2003;12;DC;Electric Generators, Independent Power Producers;Petroleum;-793;01/12/2003
2003;12;DC;Electric Generators, Independent Power Producers;Total;-793;01/12/2003
2004;1;DC;Total Electric Power Industry;Petroleum;15820;01/01/2004
2004;1;DC;Total Electric Power Industry;Total;15820;01/01/2004
2004;1;DC;Electric Generators, Independent Power Producers;Petroleum;15820;01/01/2004
2004;1;DC;Electric Generators, Independent Power Producers;Total;15820;01/01/2004
